Sample,Plants?,Earthworms?,FDH_g_fluorescein_g_soil_30_mins,Outlier?
Lterr 1.1,Yes,Yes,189.971,Y
Lterr 1.2,Yes,Yes,110.849,N
Lterr 1.3,Yes,Yes,119.148,N
Lterr 1.4,Yes,Yes,101.058,N
Lterr 1.5,Yes,Yes,142.386,N
Lterr 2.1,Yes,No,108.433,N
Lterr 2.2,Yes,No,50.096,Y
Lterr 2.3,Yes,No,109.04,N
Lterr 2.4,Yes,No,98.559,N
Lterr 2.5,Yes,No,89.807,N
Lterr 7.1,No,Yes,71.07521727,N
Lterr 7.2,No,Yes,68.97913601,N
Lterr 7.3,No,Yes,22.21465145,N
Lterr 7.4,No,Yes,36.5110337,N
Lterr 7.5,No,Yes,356.1697068,Y
Lterr 8.1,No,No,77.4119827,N
Lterr 8.2,No,No,66.58467881,N
Lterr 8.3,No,No,86.73960369,N
Lterr 8.4,No,No,71.86482896,N
Lterr 8.5,No,No,86.86712918,N
