,date,bay,plant,pH,EC,h2o_temp_C,d.o.,plant_height_cm,temp_c,relative_humidity_%,75,150
0,2018-08-10,201,101,6.3,2.9,,,,,,1,0
1,2018-08-10,201,102,6.3,2.9,,,,,,1,0
2,2018-08-10,201,103,6.3,2.9,,,,,,1,0
3,2018-08-10,201,104,6.3,2.9,,,,,,1,0
4,2018-08-10,201,105,6.3,2.9,,,,,,1,0
5,2018-08-10,201,106,6.3,2.9,,,,,,1,0
6,2018-08-10,201,107,6.3,2.9,,,,,,1,0
7,2018-08-10,201,108,6.3,2.9,,,,,,1,0
8,2018-08-10,201,109,6.3,2.9,,,,,,1,0
9,2018-08-10,201,110,6.3,2.9,,,,,,1,0
10,2018-08-10,201,111,6.3,2.9,,,,,,1,0
11,2018-08-10,201,112,6.3,2.9,,,,,,1,0
12,2018-08-10,201,113,6.3,2.9,,,,,,1,0
13,2018-08-10,201,114,6.3,2.9,,,,,,1,0
14,2018-08-10,201,115,6.3,2.9,,,,,,1,0
15,2018-08-10,201,116,6.3,2.9,,,,,,1,0
16,2018-08-10,201,117,6.3,2.9,,,,,,1,0
17,2018-08-10,201,118,6.3,2.9,,,,,,1,0
18,2018-08-10,202,201,5.8,2.5,,,,,,0,1
19,2018-08-10,202,202,5.8,2.5,,,,,,0,1
20,2018-08-10,202,203,5.8,2.5,,,,,,0,1
21,2018-08-10,202,204,5.8,2.5,,,,,,0,1
22,2018-08-10,202,205,5.8,2.5,,,,,,0,1
23,2018-08-10,202,206,5.8,2.5,,,,,,0,1
24,2018-08-10,202,207,5.8,2.5,,,,,,0,1
25,2018-08-10,202,208,5.8,2.5,,,,,,0,1
26,2018-08-10,202,209,5.8,2.5,,,,,,0,1
27,2018-08-10,202,210,5.8,2.5,,,,,,0,1
28,2018-08-10,202,211,5.8,2.5,,,,,,0,1
29,2018-08-10,202,212,5.8,2.5,,,,,,0,1
30,2018-08-10,202,213,5.8,2.5,,,,,,0,1
31,2018-08-10,202,214,5.8,2.5,,,,,,0,1
32,2018-08-10,202,215,5.8,2.5,,,,,,0,1
33,2018-08-10,202,216,5.8,2.5,,,,,,0,1
34,2018-08-10,202,217,5.8,2.5,,,,,,0,1
